conversation_id_str,text,favorite_count;;;
1853675193518178754,ezash minggu2  baru rasa 2x  telfon sales bank manri nawarin asuransi bca nawarin kartu kredit bahkan sampai samperin  tempat tinggal gue langsung phal bca gue  blokir udah sebulan ga gue pa karena flagged fraud . segitu ringnya duit  s,1;;;
1853955859208081655,o3. { #zonauang } aku open pencairan limit kredit spaylater krevo indoa gopaylater bri ceria crenex honest tokopea card livin yup bca jenius flip paylater! cair instan hitungan menit fastrespon ,0;;;
1853849078217765053,llazwd sesuai  tampilan gambar  kirimkan  kartu kredit unionpay maka tidak bisa ya ibu llazwd. tks ^groho,0;;;
1853849078217765053,llazwd  senang hati kami informasikan ibu llazwd. apabila pihak merchant bisa menerima pembayaran  kartu kredit unionpay maka bisa ya.  hal tersebut dapat kami sarankan  konfirmasi p pihak merchant ya. tks ^groh,0;;;
1853849078217765053,llazwd  senang hati kami informasikan ibu llazwd. apabila pihak merchant bisa menerima pembayaran  kartu kredit unionpay maka bisa ya. tks ^groh,0;;;
1853828086103732253,lanangmaxwin  senang hati kami informasikan bapak/ibu pelanggan. tidak bisa ya. khusus kartu kredit bca amex platinum pendebetan harus 100%. tks ^gefar,0;;;
1853820067693351421,funfact: qris  aplikasi livin manri  wondr bni bisa connect  kartu kredit (bca belom bisa ). jajan telor gulung 5rb bayar bisa pa qris -&gt; kartu kredit. tiap bulan cash utuh. tabungan aman. belanja pa kartu kredit  lunasi tiap gajian. menyala qris-ku! ,12;;
1853777652299215058,gavi open - spay - gpay - akulaku via bukalapak - indoa briceria allobank - krevo via - kartu kredit (bca uob bri manri neobank amon octo jenius paylater dll) - bca paylatr boleh chat dulu buat tanya2 yah,0;;;
1853759891976196316,selamat malam halobca saya mulai pagi hendak melakukan pembayaran kartu kredit bank mega melalui atm bca tapi gagal terus apakah  error?! terima kasih,1;;;
1851126187747414367,seneng banget kalau bantu nasabah apply kartu kredit bca terus approve️  mau apply cc bca bisa dm️ :///gq0mae0rrk,0;;;
1853742102167109863,atyawahyu_as mohon maaf atas tidaknyamanan  bapak atyawahyu_as alami. kami bantu pengecekan  nomor 021-30030030 benar nomor team telemarting kartu kredit bca ya. tks ^groho,0;;;
1853714773554422122,open - krevo spaylatter bca paylatter yup paylatter jenius paylatter gopaylatter tokopeacard ovo u card crenex all cc/kartu kredit traveloka non vn tiktokshop paylatter dll. avail banyak instan nom besar bisa masup! whatsapp. (555),0;;;
1853704322133250253,ir_wan__ jika mengalami ndala nasabah pemilik kartu kredit bisa informasikan nomor customer  nomor handphone  dapat hubungi melalui dm. pastikan anda berinteraksi  akun resmi bank bca  sudah terverifikasi. (4/4),0;;;
1853704322133250253,ir_wan__ melalui aplikasi halobca  fitur call lalu pilih kartu kredit (bebas pulsa) agar dapat bantu blokir kartu kredit  pengecekan data lainnya sekaligus buatkan laporan. (3/4),0;;;
1853704322133250253,ir_wan__ terkoneksi  kartu kredit bca maka pemblokiran bisa lakukan melalui fasilitas tersebut  menu m-admin lalu pilih blokir kartu kredit  ikuti langkah selanjutnya. nasabah bisa menghubungi layanan halo bca 1500888 (2/4),0;;;
1853704322133250253,ir_wan__ selamat sore ir_wan__. kami turut prihatin  jaan  alami. apabila mengalami ndala merasa tidak transaksi kartu kredit kami sarankan lakukan pemblokiran. apabila pemilik kartu kredit memiliki fasilitas m-bca (bca mobile)  sudah (1/4),0;;;
1853713756104319305,o2. { #zonauang } aku open pencairan limit kredit spaylater krevo indoa gopaylater bri ceria crenex honest tokopea card livin yup bca jenius flip paylater! cair instan hitungan menit fastrespon ,0;;;
